drug_id,disease_id,label
DB00726,MESH:D000275,0
DB08938,MESH:D005764,1
DB13909,MESH:D007037,0
DB00745,MESH:D015210,0
DB01210,MESH:D010661,0
DB01085,MESH:D005902,1
DB00650,MESH:D056587,0
DB00607,MESH:D002385,0
DB13152,MESH:D017449,0
DB01100,MESH:D006712,0
DB00563,MESH:D014605,1
DB01188,MESH:D006938,0
DB00007,MESH:D011629,1
DB00672,MESH:D008708,0
DB15328,MESH:D006961,0
DB02703,MESH:D003967,0
DB00768,MESH:D012004,0
DB09148,MESH:D011704,0
DB01147,MESH:D010019,1
DB09106,MESH:D020896,1
DB00884,MESH:D006501,0
DB06826,MESH:D010262,0
DB00207,MESH:D002602,1
DB01235,MESH:D010300,1
DB09496,MESH:D013471,1
DB00279,MESH:D064146,0
DB14033,MESH:D008288,1
DB00945,MESH:D001172,1
DB06709,MESH:D001249,1
DB00186,MESH:D007319,1
DB01303,MESH:D016084,1
DB06817,MESH:D055665,0
DB00916,MESH:D013530,1
DB00275,MESH:D006973,1
DB00049,MESH:D016728,0
DB06715,MESH:D000141,0
DB06211,MESH:D001289,0
DB00371,MESH:D001008,1
DB00049,MESH:D016905,0
DB06760,MESH:D000858,0
DB00707,MESH:D007787,0
DB09036,MESH:D005871,1
DB01068,MESH:D005879,1
DB14500,MESH:D002149,1
DB00685,MESH:D059413,1
DB01247,MESH:D003556,0
DB15328,MESH:D015535,0
DB00782,MESH:D016891,0
DB04272,MESH:D006356,1
DB00330,MESH:D015270,1
DB03614,MESH:D008545,0
DB01023,MESH:D004831,0
DB01026,MESH:D003047,1
DB08900,MESH:D000542,0
DB00222,MESH:D008368,0
DB01086,MESH:D010612,1
DB06196,MESH:D013167,0
DB01216,MESH:C000590,0
DB00770,MESH:D011928,1
DB08938,MESH:D007669,1
DB01190,MESH:D014277,0
DB00741,MESH:D000224,1
DB06700,MESH:D000069836,0
DB00062,MESH:D006967,1
DB03614,MESH:D016773,0
DB00199,MESH:D009878,1
DB14879,MESH:D005923,0
DB11621,MESH:D015352,0
DB00635,MESH:D013966,1
DB00741,MESH:D014235,1
DB00315,MESH:D020018,0
DB14711,MESH:D000690,0
DB09029,MESH:D006339,0
DB01192,MESH:D003866,0
DB00023,MESH:D004672,0
DB00338,MESH:D004892,0
DB00583,MESH:C536038,1
DB00213,MESH:D014945,1
DB00893,MESH:D019150,1
DB00335,MESH:D000787,1
DB06720,MESH:D012880,0
DB05276,MESH:D013203,0
DB04815,MESH:D003877,1
DB01403,MESH:D014277,1
DB00280,MESH:D013736,0
DB00005,MESH:D006086,1
DB06212,MESH:D016891,1
DB11660,MESH:D010211,1
DB01234,MESH:D007627,1
DB04815,MESH:D000152,1
DB01598,MESH:D059413,1
DB00199,MESH:D000152,1
DB00838,MESH:D012871,1
DB00573,MESH:D017492,0
DB00496,MESH:D016640,0
DB00418,MESH:D003869,0
DB00297,MESH:D000305,1
DB00761,MESH:D009877,0
DB06402,MESH:D017180,0
DB09067,MESH:D018562,0
DB00254,MESH:D014438,1
DB01224,MESH:D011618,1
DB00071,MESH:C535669,0
DB00320,MESH:D008881,1
DB00927,MESH:D010374,0
DB00262,MESH:D006950,0
DB00083,MESH:D014103,1
DB00520,MESH:D009181,1
DB01099,MESH:D016921,1
DB01059,MESH:D011702,1
DB00983,MESH:D053201,0
DB06781,MESH:D009369,0
DB01165,MESH:D007918,1
DB00481,MESH:D010024,1
DB14041,MESH:D017497,0
DB00053,MESH:D013207,0
DB00681,MESH:D016921,1
DB00864,MESH:D006086,1
DB00620,MESH:D008010,1
